ModelName,Precision,Recall,F-Score
naiveContinuos
0,0.29679802955665024,0.5878048780487805,0.3944353518821604
1,0.30297397769516726,0.3058161350844278,0.30438842203548083
2,0.7657142857142857,0.5518188057652711,0.6414040686078979
accuracy,0.5033333333333333
macro avg,0.4551620976553677,0.4818132729661598,0.44674261417517974
weighted avg,0.5828408485481105,0.5033333333333333,0.5243680213242935

naiveContinuos
0,0.29679802955665024,0.5878048780487805,0.3944353518821604
1,0.30297397769516726,0.3058161350844278,0.30438842203548083
2,0.7657142857142857,0.5518188057652711,0.6414040686078979
accuracy,0.5033333333333333
macro avg,0.4551620976553677,0.4818132729661598,0.44674261417517974
weighted avg,0.5828408485481105,0.5033333333333333,0.5243680213242935

naiveContinuos
0,0.29679802955665024,0.5878048780487805,0.3944353518821604
1,0.30297397769516726,0.3058161350844278,0.30438842203548083
2,0.7657142857142857,0.5518188057652711,0.6414040686078979
accuracy,0.5033333333333333
macro avg,0.4551620976553677,0.4818132729661598,0.44674261417517974
weighted avg,0.5828408485481105,0.5033333333333333,0.5243680213242935

naiveContinuos
0,0.29679802955665024,0.5878048780487805,0.3944353518821604
1,0.30297397769516726,0.3058161350844278,0.30438842203548083
2,0.7657142857142857,0.5518188057652711,0.6414040686078979
accuracy,0.5033333333333333
macro avg,0.4551620976553677,0.4818132729661598,0.44674261417517974
weighted avg,0.5828408485481105,0.5033333333333333,0.5243680213242935

naiveContinuos
0,0.29679802955665024,0.5878048780487805,0.3944353518821604
1,0.30297397769516726,0.3058161350844278,0.30438842203548083
2,0.7657142857142857,0.5518188057652711,0.6414040686078979
accuracy,0.5033333333333333
macro avg,0.4551620976553677,0.4818132729661598,0.44674261417517974
weighted avg,0.5828408485481105,0.5033333333333333,0.5243680213242935

